Title,IMDBScore
"ReMastered: The Two Killings of Sam Cooke",7.3
"Secrets of the Saqqara Tomb",7.3
"Sitara: Let Girls Dream",7.3
"Sky Ladder: The Art of Cai Guo-Qiang",7.3
"Team Foxcatcher",7.3
"The Ballad of Buster Scruggs",7.3
"The Death and Life of Marsha P. Johnson",7.3
"The Fundamentals of Caring",7.3
"The Other One: The Long Strange Trip of Bob Weir",7.3
"American Murder: The Family Next Door",7.2
"Audrie & Daisy",7.2
"First They Killed My Father",7.2
"Fyre: The Greatest Party That Never Happened",7.2
"Into the Inferno",7.2
"LA Originals",7.2
"Ladies First",7.2
"Love per Square Foot",7.2
Paddleton,7.2
"Private Life",7.2
Seventeen,7.2
Sometimes,7.2
Soni,7.2
"The 40-Year-Old Version",7.2
"The Disciple",7.2
"The Edge of Democracy",7.2
"The King",7.2
"The Road to El Camino: A Breaking Bad Movie",7.2
"The Siege of Jadotville",7.2
Zion,7.2
"13th: A Conversation with Oprah Winfrey & Ava DuVernay",7.1
"Angela's Christmas",7.1
"Angela's Christmas Wish",7.1
Beats,7.1
"Circus of Books",7.1
"Dance Dreams: Hot Chocolate Nutcracker",7.1
"Derren Brown: Sacrifice",7.1
"El Pepe: A Supreme Life",7.1
"End Game",7.1
Evelyn,7.1
Ferry,7.1
"Grass Is Greener",7.1
"Guillermo Vilas: Settling the Score",7.1
"Joshua: Teenager vs. Superpower",7.1
"Keith Richards: Under the Influence",7.1
"Knock Down the House",7.1
"Loudon Wainwright III: Surviving Twin",7.1
"My Beautiful Broken Brain",7.1
"One of Us",7.1
"Pieces of a Woman",7.1
"Ram Dass, Going Home",7.1
"ReMastered: Tricky Dick & the Man in Black",7.1
"Rooting for Roona",7.1
"The Devil All the Time",7.1
"The Dig",7.1
"The Great Hack",7.1
"The White Tiger",7.1
"To All the Boys I've Loved Before",7.1
"Feminists: What Were They Thinking?",7
"Gaga: Five Foot Two",7
"I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron",7
"Kingdom of Us",7
"Lorena, Light-Footed Woman",7
"Los Tigres del Norte at Folsom Prison",7
"Ma Rainey's Black Bottom",7
"Ma Rainey's Black Bottom: A Legacy Brought to Screen",7
"Operation Varsity Blues: The College Admissions Scandal",7
Pele,7
"ReMastered: Devil at the Crossroads",7
"ReMastered: The Lion's Share",7
"ReMastered: The Miami Showband Massacre",7
Resurface,7
"Rocko's Modern Life: Static Cling",7
"Rose Island",7
"The Christmas Chronicles",7
"The Dirt",7
"The Night Comes for Us",7
"AK vs AK",6.9
"Amanda Knox",6.9
"Bigflo & Oli: Hip Hop Frenzy",6.9
"Biggie: I Got a Story to Tell",6.9
"Cops and Robbers",6.9
"I Don't Feel at Home in This World Anymore",6.9
Laerte-se,6.9
Mank,6.9
"Our Souls at Night",6.9
"Outlaw King",6.9
Pagglait,6.9
"ReMastered: Who Shot the Sheriff?",6.9
"Seeing Allred",6.9
"Spelling the Dream",6.9
"The Claudia Kishi Club",6.9
"The Half of It",6.9
"The Highwaymen",6.9
"The Lonely Island Presents: The Unauthorized Bash Brothers Experience",6.9
"The Meyerowitz Stories (New and Selected)",6.9
22-Jul,6.8
"7 aÃ±os",6.8
"A Futile and Stupid Gesture",6.8
"A Life of Speed: The Juan Manuel Fangio Story",6.8
"A Love Song for Latasha",6.8
"All in My Family",6.8
"Always Be My Maybe",6.8
Becoming,6.8
"Brij Mohan Amar Rahe",6.8
Calibre,6.8
"Death to 2020",6.8
"GIMS: On the Record",6.8
"Have a Good Trip: Adventures in Psychedelics",6.8
Heroin(e),6.8
"Mercury 13",6.8
"Saving Capitalism",6.8
"Serious Men",6.8
"The Boys in the Band",6.8
"The Boys in the Band: Something Personal",6.8
"The Life Ahead",6.8
"The Other Side of the Wind",6.8
"The Trader",6.8
"To the Bone",6.8
"Tony Parker: The Final Shot",6.8
"A Whisker Away",6.7
"Ajeeb Daastaans",6.7
"Arlo the Alligator Boy",6.7
"Bikram: Yogi, Guru, Predator",6.7
Blame!,6.7
"Blue Miracle",6.7
CounterPunch,6.7
"Crack: Cocaine, Corruption & Conspiracy",6.7
Extraction,6.7
"Giving Voice",6.7
"Hillbilly Elegy",6.7
"Hope Frozen: A Quest to Live Twice",6.7
"Imperial Dreams",6.7
"Just Another Christmas",6.7
"Little Miss Sumo",6.7
"Malcolm & Marie",6.7
"Michael Bolton's Big, Sexy, Valentine's Day Special",6.7
Moxie,6.7
"Night in Paradise",6.7
"Paper Lives",6.7
"Parchis: The Documentary",6.7
Tallulah,6.7
"The Old Guard",6.7
"Tony Robbins: I Am Not Your Guru",6.7
Upstarts,6.7
"Bad Trip",6.6
"Bird Box",6.6
Bulbbul,6.6
"Crazy About Her",6.6
"Elisa & Marcela",6.6
"I'll Sleep When I'm Dead",6.6
"I'm Thinking of Ending Things",6.6
"It Takes a Lunatic",6.6
Milestone,6.6
"Recovery Boys",6.6
"ReMastered: Who Killed Jam Master Jay?",6.6
"Shawn Mendes: In Wonder",6.6
"Space Sweepers",6.6
"The American Meme",6.6
"The Angel",6.6
"The Crimes That Bind",6.6
"The Red Sea Diving Resort",6.6
"What Would Sophia Loren Do?",6.6
"A 3 Minute Hug",6.5
"All the Bright Places",6.5
"All Together Now",6.5
"Altered Carbon: Resleeved",6.5
"Antoine Griezmann: The Making of a Legend",6.5
Canvas,6.5
"Chadwick Boseman: Portrait of an Artist",6.5
Chopsticks,6.5
"Da 5 Bloods",6.5
"Dolly Parton: A MusiCares Tribute",6.5
"Eurovision Song Contest: The Story of Fire Saga",6.5
"Gerald's Game",6.5
"His House",6.5
"Jingle Jangle: A Christmas Journey",6.5
"Life Overtakes Me",6.5
"Lust Stories",6.5
Monster,6.5
"Mowgli: Legend of the Jungle",6.5
"Nobody Knows I'm Here",6.5
"Nobody Speak: Trials of the Free Press",6.5
Oxygen,6.5
"Set It Up",6.5
"The Incredible Jessica James",6.5
Tigertail,6.5
Tramps,6.5
"What Did Jack Do?",6.5
"Anelka: Misunderstood",6.4
"Ariana Grande: Excuse Me, I Love You",6.4
ARQ,6.4
Birders,6.4
"Como CaÃ­do del Cielo",6.4
"First Match",6.4
Fractured,6.4
"Irreplaceable You",6.4
"Isi & Ossi",6.4
"John Was Trying to Contact Aliens",6.4
"Layla Majnun",6.4
"Murder to Mercy: The Cyntoia Brown Story",6.4
"My Own Man",6.4
"Nappily Ever After",6.4
"Over the Moon",6.4
"Street Flow",6.4
"Strong Island",6.4
"Sturgill Simpson Presents: Sound & Fury",6.4
"Take Your Pills",6.4
"The Heartbreak Club",6.4
"The Mars Generation",6.4
"The Occupant",6.4
"The Willoughbys",6.4
"Triple Frontier",6.4
"Two Catalonias",6.4
"Walk. Ride. Rodeo.",6.4
Wheelman,6.4
"When We First Met",6.4
1922,6.3
"A Tale of Two Kitchens",6.3
"Alex Strangelove",6.3
Apostle,6.3
Benji,6.3
Bright,6.3
Cargo,6.3
"Concrete Cowboy",6.3
"Feel the Beat",6.3
"Get the Goat",6.3
"I Am Not an Easy Man",6.3
"June & Kopi",6.3
"Music Teacher",6.3
"Nail Bomber: Manhunt",6.3
"Notes for My Son",6.3
Polar,6.3
"Porta dos Fundos: The Last Hangover",6.3
"Sand Castle",6.3
"Shimmer Lake",6.3
Spectral,6.3
"The Babysitter",6.3
"The Discovery",6.3
"The Forest of Love",6.3
"The Laundromat",6.3
"The Legend of Cocaine Island",6.3
"The Outsider",6.3
"Time to Hunt",6.3
"To All the Boys: Always and Forever",6.3
"Travis Scott: Look Mom I Can Fly",6.3
Uncorked,6.3
"Alien Xmas",6.2
"Baggio: The Divine Ponytail",6.2
"Below Zero",6.2
Citation,6.2
"Crazy Awesome Teachers",6.2
"Have You Ever Seen Fireflies?",6.2
"High Flying Bird",6.2
"In the Shadow of the Moon",6.2
"Lost Bullet",6.2
"Octonauts & the Caves of Sac Actun",6.2
"Offering to the Storm",6.2
"Roxanne Roxanne",6.2
"Someone Great",6.2
"Spenser Confidential",6.2
"The Land of Steady Habits",6.2
"The Rachel Divide",6.2
Voyuer,6.2
"Win It All",6.2
"6 Underground",6.1
"Between Two Ferns: The Movie",6.1
"Burning Sands",6.1
"Casting JonBenet",6.1
"Deidra & Laney Rob a Train",6.1
"Finding 'Ohana",6.1
Holidate,6.1
"Holiday in the Wild",6.1
"Hot Girls Wanted",6.1
"Like Father",6.1
"Lost Girls",6.1
Otherhood,6.1
"Pee-wee's Big Holiday",6.1
"Rogue City",6.1
Sergio,6.1
"Stuck Apart",6.1
"Tersanjung the Movie",6.1
"The Killer",6.1
"The Lovebirds",6.1
"The Most Hated Woman in America",6.1
"The Perfection",6.1
"Tribhanga â€“ Tedhi Medhi Crazy",6.1
"Unknown Origins",6.1
"Work It",6.1
"Come Sunday",6
"Forgive Us Our Debts",6
iBoy,6
Lovefucked,6
Juanita,6
"Murder Mystery",6
"Project Power",6
Rebecca,6
"The Christmas Chronicles: Part Two",6
"The Kissing Booth",6
"The Princess Switch",6
"To All the Boys: P.S. I Still Love You",6
"War Machine",6
"6 Balloons",5.9
"A Fall from Grace",5.9
Amateur,5.9
"Army of the Dead",5.9
Cam,5.9
"Earthquake Bird",5.9
"Frankenstein's Monster's Monster, Frankenstein",5.9
"Horse Girl",5.9
"Notes from Dunblane: Lesson from a School Shooting",5.9
Maska,5.9
"The Decline",5.9
"The Minimalists: Less Is Now",5.9
"The Polka King",5.9
"The Prom",5.9
"True Memoirs of an International Assassin",5.9
Ultras,5.9
15-Aug,5.8
"A California Christmas",5.8
"A Christmas Prince",5.8
"All Day and a Night",5.8
"American Son",5.8
Barry,5.8
"Candy Jar",5.8
"Choked: Paisa Bolta Hai",5.8
"Class of '83",5.8
Extinction,5.8
"Happy Anniversary",5.8
"I Am All Girls",5.8
"Let It Snow",5.8
Mascots,5.8
"Operation Christmas Drop",5.8
"Rajma Chawal",5.8
"Rich in Love",5.8
"Rising High",5.8
"Rodney King",5.8
"Sierra Burgess Is a Loser",5.8
"Small Crimes",5.8
"Special Correspondents",5.8
TAU,5.8
"The After Party",5.8
"The Babysitter: Killer Queen",5.8
"The Claus Family",5.8
"The Kissing Booth 2",5.8
"The Perfect Date",5.8
"What We Wanted",5.8
"You've Got This",5.8
"A Week Away",5.7
"Caught by a Wave",5.7
"Christmas Inheritance",5.7
"Dad Wanted",5.7
"El Camino Christmas",5.7
Eli,5.7
"Ginny Weds Sunny",5.7
"Good Sam",5.7
Lionheart,5.7
"Little Evil",5.7
"One Take",5.7
"Out of Many, One",5.7
"Point Blank",5.7
"Prime Time",5.7
"The Do-Over",5.7
"The Holiday Calendar",5.7
"The Woman in the Window",5.7
"The Wrong Missy",5.7
"Velvet Buzzsaw",5.7
"Yes Day",5.7
"Bomb Scared",5.6
"Brahman Naman",5.6
"Double Dad",5.6
"Falling Inn Love",5.6
"Hold the Dark",5.6
"Love, Guaranteed",5.6
"One-Way to Tomorrow",5.6
"Sarah Cooper: Everything's Fine",5.6
"The Last Laugh",5.6
"The Last Paradiso",5.6
"The Midnight Sky",5.6
"The Paramedic",5.6
"The Sleepover",5.6
"Vampires vs. the Bronx",5.6
"Why Did You Kill Me?",5.6
"A Very Murray Christmas",5.5
"Been So Long",5.5
"Dead Kids",5.5
"Get the Grift",5.5
"Ghosts of Sugar Land",5.5
"House Arrest",5.5
"Kevin Hart's Guide to Black History",5.5
"Love Wedding Repeat",5.5
Mute,5.5
Ã’lÃ²turÃ©,5.5
"Red Dot",5.5
"Ride or Die",5.5
"Step Sisters",5.5
"The Cloverfield Paradox",5.5
"The Knight Before Christmas",5.5
"The Legacy of a Whitetail Deer Hunter",5.5
"The Package",5.5
"Unicorn Store",5.5
"Wine Country",5.5
"A Babysitter's Guide to Monster Hunting",5.4
"A Christmas Prince: The Royal Baby",5.4
"Despite Everything",5.4
"Dolly Kitty Aur Woh Chamakte Sitare",5.4
"Freaks: You're One of Us",5.4
"Game Over, Man!",5.4
Guilty,5.4
"In the Tall Grass",5.4
"Madame Claude",5.4
Naked,5.4
"Outside the Wire",5.4
"The Princess Switch: Switched Again",5.4
"Under the Riccione Sun",5.4
"A Christmas Prince: The Royal Wedding",5.3
"Back to School",5.3
"Dangerous Lies",5.3
"Gunjan Saxena: The Kargil Girl",5.3
Intuition,5.3
"The Most Assassinated Woman in the World",5.3
"Things Heard & Seen",5.3
"To Each, Her Own",5.3
"Who Would You Take to a Deserted Island?",5.3
XOXO,5.3
#REALITYHIGH,5.2
"American Factory: A Conversation with the Obamas",5.2
Desperados,5.2
"Dolly Parton's Christmas on the Square",5.2
"Father of the Year",5.2
Firebrand,5.2
"Ghost Lab",5.2
"Girlfriend's Day",5.2
"Handsome: A Netflix Mystery Movie",5.2
"Hubie Halloween",5.2
Ibiza,5.2
"Rim of the World",5.2
"Sandy Wexler",5.2
"See You Yesterday",5.2
"Still Laugh-In: The Stars Celebrate",5.2
"Strip Down, Rise Up",5.2
"Tall Girl",5.2
"The Beast",5.2
"The Week Of",5.2
Cadaver,5.1
Clinical,5.1
"Coffee & Kareem",5.1
Dude,5.1
"Geez & Ann",5.1
"The Larva Island Movie",5.1
"Airplane Mode",5
"How It Ends",5
"Love Like the Falling Rain",5
Rebirth,5
"Squared Love",5
"Earth and Blood",4.9
Fearless,4.9
"Holiday Rush",4.9
"The Day of the Lord",4.9
"Christmas Crossfire",4.8
"Coin Heist",4.8
"Mrs. Serial Killer",4.8
"Nobody Sleeps in the Woods Tonight",4.8
"Take the 10",4.8
"The Main Event",4.8
"The Ridiculous 6",4.8
"Finding Agnes",4.7
IO,4.7
Sentinelle,4.7
"Sol Levante",4.7
"The Binding",4.7
"We Can Be Heroes",4.7
"5 Star Christmas",4.6
"After Maria",4.6
"I Am the Pretty Thing That Lives in the House",4.6
"Paris Is Us",4.6
"Porta dos Fundos: The First Temptation of Christ",4.6
Rattlesnake,4.6
"The Players",4.6
"We Are One",4.6
"Fatal Affair",4.5
"Just Say Yes",4.5
"Seriously Single",4.5
"The Misadventures of Hedi and Cokeman",4.5
"Death Note",4.4
"Hello Privilege. It's Me, Chelsea",4.4
"Secret Obsession",4.4
Sextuplets,4.4
"The Girl on the Train",4.4
"Thunder Force",4.4
"After the Raid",4.3
"Ghost Stories",4.3
"The Last Thing He Wanted",4.3
"What Happened to Mr. Cha?",4.3
"All Because of You",4.2
Mercy,4.2
"Sardar Ka Grandson",4.1
"Searching for Sheela",4.1
"The Call",4.1
Whipped,4.1
Paradox,3.9
"Leyla Everlasting",3.7
"The Last Days of American Crime",3.7
Drive,3.5
"Kaali Khuhi",3.4
"The Open House",3.2
"Dark Forces",2.6
"The App",2.6
"Enter the Anime",2.5
